name,x,y,passengers,cluster
"Radbruch, Mühle",10.3136963,53.3051747,16,19.0
"Radbruch, Wittorferweg",10.2941944,53.3087294,14,19.0
"Bardowick, Wendeplatz",10.3559539,53.2938116,13,19.0
Hamburger Landstraße,10.3868997,53.2935428,0,
"Artlenburg, Mühle",10.4989909,53.3687034,10,17.0
"Dachtmissen, Waldweg",10.3162694,53.2523063,0,
"Wittorf, Hauptstraße",10.3805995,53.3305839,0,
"Wittorf, Brücke",10.3819406,53.3318132,13,24.0
"Wittorf, Neulander Weg",10.3646075,53.3293056,9,22.0
"Handorf, Mühle",10.3474554,53.338914,9,22.0
"Handorf, Ortsmitte",10.345704,53.3435453,13,22.0
"Vastorf, Gifkendorfer Straße",10.5461749,53.1974828,4,13.0
"Vastorf, Bahnbrücke",10.5455513,53.2001171,6,13.0
"Horndorf, Kreuzung B 216",10.587352,53.214515,0,
"Rohstorf, Ort",10.5823456,53.2029603,0,
Volkstorf,10.5459413,53.2062821,5,13.0
Schule B,10.5371366,53.2254971,4,13.0
"Ellringen, Kettelberg",10.7040434,53.2262198,4,1.0
"Neetze, Am Ried",10.6198868,53.2734573,0,
"Neu Jürgenstorf, Ahrenschulter",10.6240146,53.3161402,0,
"Rosenthal, L 219",10.6340671,53.3154685,2,5.0
Vogelsang 11,10.6507453,53.3241209,4,6.0
"Vogelsang, Ort",10.6596535,53.3242727,4,6.0
"Bleckeder Moor, Heidmoor",10.6731644,53.2995353,0,
"Bleckeder Moor, Fuchsweg",10.6903112,53.2923899,0,
"Garlstorf, Neu Brackede",10.6911641,53.348685,5,
"Brackede, Abzweig Garlstorf",10.6996707,53.3482567,0,
"Barförde, Poggenort",10.6433558,53.3604898,3,4.0
"Barförde, Elbdeich 15",10.6382803,53.3626705,7,4.0
Kirchgellerser Straße,10.2974503,53.2133454,12,16.0
"Südergellersen, Stähwiesen",10.2971117,53.2160895,9,16.0
"Kirchgellersen, Grundschule",10.2909644,53.2342138,0,
Dachtmisser Straße,10.3449053,53.250619,15,28.0
"Amelinghausen, Bahnhof",10.2155574,53.1307291,35,15.0
Tartuer Platz,10.4329656,53.2528511,5,50.0
"Wendhausen, Wendenstraße",10.5608855,53.2496753,6,8.0
"Holzen, Op dan Brink",10.5827643,53.241263,10,7.0
"Neu Neetze, Denker",10.6217631,53.2950977,10,5.0
"Gienau, Wiebecker Straße",10.6644576,53.1645591,7,1.0
Groß Sommerbeck 3,10.6808782,53.2047377,0,
"Neu Neetze, Tennisclub",10.6168579,53.2867567,0,
Konrad-Adenauer-Straße Ost,10.4451221,53.2312612,22,26.0
